Book Title,Description,Author,Category /Shelf Code,Volume,Language,Old Shelf Code,OLD Acc No,Publisher,Year of Publication,NEW SHELF CODE,CHECKED,BOOK ID,ISBN,
Dwadasha Manjari,Advaita ,Sri Vidya Prakashananda Swami,Advaita,,Telugu,D6,1847,"Sri Shukabramha Ashramam, Sri Kalahasti",1988,ADV- VPSw,,1097,,
Eshwaranubhoothi,"Vol-2, Part-2",Pannala Radhakrishna Sharma,Advaita,,Telugu,RRB1,4403,"Ananda Ashram, Kasaragodu Distt, N.Kerala.",2002,ADV-  PRS,,1098,,
Gaudapada,A Study in Early Advaita,T.M.P. Mahadevan,Advaita,,English,5,462,"University of Madras, Madras",1952,ADV-TMPM,,1099,,
Gita Govindam,NA,Jayadeva Kavi,Advaita,,Telugu,7,407,Madras,1911,ADV-JK,,1100,,
Gnana Vashisthamu,NA,Vavilla Nagalinga Sastrulu,Advaita,,Telugu,A5,4019,Alladi Swaminathan,2011,ADV- VNS,,1101,,
Gnanabinduvu,NA,Kasipati Venkatapati,Advaita,,Telugu,A5,4007,"Gayatri Art Printers, Hyderabad",1997,ADV-KV,,1102,,
Goal of Life,,Swami Sivananda,Advaita,,English,na,3390,"Spiritual Society, Yogalaya, Hyderabad",,ADV- SwSiv,,1103,,
Gospel of Geeta,NIL,Kapali Sastri,Advaita,,English,5,383,"The ""Sunday Times"" Office, Madras",1932,ADV-KS,,1104,,
Guru Bhakti Bodani,Tika Tatparya Sahitam,Achala Bodacharya ,Advaita,,Telugu,5,1889,"Sri Saraswathi Press, Madras",1950,ADV-AB,,1105,,
Hansa sandesham,NIL,Srimadvedhantacharya ,Advaita,,Telugu,NA I-6,1992,Vavilla Ramaswamy Sastry &Others,1927,ADV-SA,,1106,,
Hari Midesptaha,Advaita,Dorba Vishwanadha Sharma,Advaita,,Telugu,NA,2841,Jyoth Opset Chirala,1998,ADV- DVS,,1107,,
Hindu Dharma Bhodhini,Devraahasyamu,Prabhakar Uma Maheshwara Pandit,Advaita,,Telugu,A5,83,ChennaPuri Andhra Mahajanula dravya Nellore,1954,ADV- PUM,,1108,,
Hymn To Dakshina Murthy,Sri Sankaracharya,Swami Vivekananda,Advaita,,Telugu,3,1741,"Sri Ramakrishna Matt, Mylapore, Madras",1977,ADV- ADI,,1109,,
Hymn to Sri Dakshinamoorthy,Sri Sankaracharya,Commentary Swami Chinmayananda,Advaita,,English,F4,3248,NA,na,ADV-SwC,,1110,,
Hymn To Sri Dakshinamurthy With Maansasollaasa,By,Nagesh D. Sonde,Advaita,,English,5,1738,"Vasantik Prakashan, Bombay",1994,ADV-NDS,,1111,,
Hymns & Prayers,To Gods & Goddesses,Swami Pavitrananada,Advaita,,English,5,2222,"Advaita AShram, Kolkatta",1996,ADV-SP,,1112,81-7505-116-7,
In the Still Lake of COntemplation,,Nochur Sri Venkataraman,Advaita,,English,,3463,"Rishi Prakashana Sabha, Tiruvannamalai",2013,ADV- NSV,,1113,,
Jagad Guru Bodalu,8th Samputamu,Sri Chandra Sekharendra Saraswathy,Advaita,,Telugu,RRB-2,2804,"Sadhana Grantha Mandali, Tenali",1998,ADV-CSS,,1114,,
Jagad Guru Bodalu,Part-10,Sri Chandra Sekharendra Saraswathy,Advaita,,Telugu,L3,2806,"Sadhana Grantha Mandali, Tenali",1998,ADV-CSS,,1115,,
Jagad Guru Bodalu,9th Samputamu,Sri Chandra Sekharendra Saraswathy,Advaita,,Telugu,L3,2805,"Sadhana Grantha Mandali, Tenali",1998,ADV-CSS,,1116,,
Jagad Guru Bodalu,8th Samputamu,Sri Chandra Sekharendra Saraswathy,Advaita,,Telugu,L3,2845/3,"Sadhana Grantha Mandali, Tenali",1974,ADV-CSS,,1117,,
Jagad Guru Bodalu,"7th Samputamu, Shankara Vijayamu",Sri Chandra Sekharendra Saraswathy,Advaita,,Telugu,L3,2803,"Sadhana Grantha Mandali, Tenali",NA,ADV-CSS,,1118,,
